control_a,control_b,environment,objective_a,objective_b,objective_pair,pair_auditability,pair_compliance,pair_safety,pair_utility,synergy_delta
medical_urgency_classifier,policy_graph_router,adversarial,0.43513333333333337,0.5092500000000001,0.5373333333333334,0.42,0.5933333333333334,0.67,0.745,0.0132
financial_vulnerability_classifier,policy_graph_router,adversarial,0.42425000000000007,0.5092500000000001,0.5264500000000001,0.42,0.585,0.6433333333333334,0.745,0.0132
policy_compliance_judge,policy_graph_router,adversarial,0.4799166666666667,0.5092500000000001,0.5798166666666666,0.44,0.7616666666666667,0.6533333333333334,0.725,0.0109
regex_denylist,policy_compliance_judge,adversarial,0.47150000000000003,0.4799166666666667,0.5386666666666666,0.32,0.7716666666666666,0.5950000000000001,0.715,0.0075
schema_validator,policy_compliance_judge,adversarial,0.44105000000000005,0.4799166666666667,0.5082166666666668,0.35000000000000003,0.7116666666666668,0.5266666666666667,0.7349999999999999,0.0075
regex_denylist,schema_validator,adversarial,0.47150000000000003,0.44105000000000005,0.49230000000000007,0.35000000000000003,0.645,0.5516666666666667,0.7349999999999999,0.0
regex_denylist,medical_urgency_classifier,adversarial,0.47150000000000003,0.43513333333333337,0.4863833333333334,0.32,0.6033333333333334,0.5716666666666667,0.7349999999999999,0.0
regex_denylist,financial_vulnerability_classifier,adversarial,0.47150000000000003,0.42425000000000007,0.47550000000000003,0.32,0.595,0.545,0.7349999999999999,0.0
regex_denylist,human_escalation_gate,adversarial,0.47150000000000003,0.45985000000000004,0.5111,0.35000000000000003,0.6349999999999999,0.5950000000000001,0.6849999999999999,0.0
schema_validator,medical_urgency_classifier,adversarial,0.44105000000000005,0.43513333333333337,0.45593333333333336,0.35000000000000003,0.5433333333333333,0.5033333333333333,0.755,0.0
schema_validator,financial_vulnerability_classifier,adversarial,0.44105000000000005,0.42425000000000007,0.44505000000000006,0.35000000000000003,0.535,0.47666666666666674,0.755,0.0
schema_validator,policy_graph_router,adversarial,0.44105000000000005,0.5092500000000001,0.53005,0.45,0.635,0.61,0.745,-0.0
schema_validator,adaptive_risk_controller,adversarial,0.44105000000000005,0.5018500000000001,0.5226500000000001,0.35000000000000003,0.615,0.6466666666666666,0.755,-0.0
schema_validator,human_escalation_gate,adversarial,0.44105000000000005,0.45985000000000004,0.48065,0.37999999999999995,0.575,0.5266666666666667,0.705,0.0
medical_urgency_classifier,financial_vulnerability_classifier,adversarial,0.43513333333333337,0.42425000000000007,0.4391333333333334,0.32,0.49333333333333335,0.49666666666666665,0.755,0.0
medical_urgency_classifier,policy_compliance_judge,adversarial,0.43513333333333337,0.4799166666666667,0.4948000000000001,0.32,0.64,0.5466666666666667,0.7349999999999999,0.0
medical_urgency_classifier,adaptive_risk_controller,adversarial,0.43513333333333337,0.5018500000000001,0.5167333333333334,0.32,0.5733333333333334,0.6666666666666666,0.755,-0.0
medical_urgency_classifier,human_escalation_gate,adversarial,0.43513333333333337,0.45985000000000004,0.47473333333333334,0.35000000000000003,0.5333333333333333,0.5466666666666666,0.705,0.0
financial_vulnerability_classifier,policy_compliance_judge,adversarial,0.42425000000000007,0.4799166666666667,0.4839166666666667,0.32,0.6316666666666667,0.52,0.7349999999999999,0.0
financial_vulnerability_classifier,adaptive_risk_controller,adversarial,0.42425000000000007,0.5018500000000001,0.5058500000000001,0.32,0.5650000000000001,0.64,0.755,0.0
financial_vulnerability_classifier,human_escalation_gate,adversarial,0.42425000000000007,0.45985000000000004,0.46385000000000004,0.35000000000000003,0.525,0.52,0.705,0.0
policy_compliance_judge,adaptive_risk_controller,adversarial,0.4799166666666667,0.5018500000000001,0.5615166666666668,0.32,0.7116666666666668,0.6900000000000001,0.7349999999999999,0.0
policy_compliance_judge,human_escalation_gate,adversarial,0.4799166666666667,0.45985000000000004,0.5195166666666666,0.35000000000000003,0.6716666666666665,0.5700000000000001,0.6849999999999999,-0.0
policy_graph_router,human_escalation_gate,adversarial,0.5092500000000001,0.45985000000000004,0.5488500000000001,0.45,0.6249999999999999,0.6533333333333333,0.6949999999999998,0.0
adaptive_risk_controller,human_escalation_gate,adversarial,0.5018500000000001,0.45985000000000004,0.5414500000000001,0.35000000000000003,0.6050000000000001,0.6900000000000001,0.705,0.0
policy_graph_router,adaptive_risk_controller,adversarial,0.5092500000000001,0.5018500000000001,0.58335,0.42,0.635,0.7733333333333334,0.745,-0.0075
regex_denylist,policy_graph_router,adversarial,0.47150000000000003,0.5092500000000001,0.5398000000000001,0.42,0.665,0.6383333333333333,0.725,-0.0207
regex_denylist,adaptive_risk_controller,adversarial,0.47150000000000003,0.5018500000000001,0.5324000000000001,0.32,0.645,0.6750000000000002,0.7349999999999999,-0.0207
